Serving HTTP on :: port 8765 (http://[::]:8765/) ...
::1 - - [17/Sep/2026 23:04:40] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:40] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:40] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:40] "GET /fonts/SpaceArmor.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:40] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:40] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:42] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:42] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:42] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:42] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:42] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:42] "GET /fonts/SpaceArmor.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:42] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:42] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:42] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:04:42] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:05] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:05] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:05] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:05] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:05] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:05] "GET /fonts/SpaceArmor.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:05] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:05] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:05] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:05] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:31] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:31] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:31] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:31] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:31] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:31] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:31] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:31] "GET /fonts/SpaceArmor.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:31] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:31] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:05:31] code 404, message File not found
::1 - - [17/Sep/2026 23:05:31] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [17/Sep/2026 23:05:33] "GET /index.html HTTP/1.1" 304 -
::1 - - [17/Sep/2026 23:08:05] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:05] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:05] "GET /fonts/SpaceArmor.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:05] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:05] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:05] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:05] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:05] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:05] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:05] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:11] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:11] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:11] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:11] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:11] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:11] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:11] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:11] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:11] "GET /fonts/SpaceArmor.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:11] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:11] code 404, message File not found
::1 - - [17/Sep/2026 23:08:11] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [17/Sep/2026 23:08:13] "GET /index.html HTTP/1.1" 304 -
::1 - - [17/Sep/2026 23:08:29] "GET /index.html HTTP/1.1" 200 -
